DAILY REPORT - AGGRESSIVE SENSITIVITY
Generated: 2026-09-22 21:52:17
========================================================================================================================

TICKER   PRICE      ATR      DEMAND_ZONE               SUPPLY_ZONE               GAP      D_SIZE   RATIO   
LDOS     $136.63    $4.18    $103.95-$107.52           $138.78-$142.37           $31.26   $3.57    0.114  
NTAP     $202.02    $8.62    $136.96-$143.65           $202.13-$208.07           $58.48   $6.69    0.114  
TRV      $379.05    $7.27    $334.25-$339.71           $387.17-$398.59           $47.46   $5.46    0.115  
VICI     $25.43     $0.48    $23.72-$24.09             $27.25-$28.18             $3.16    $0.37    0.116  
UNP      $291.13    $5.77    $258.19-$263.17           $306.24-$311.19           $43.07   $4.98    0.116  
EFX      $173.25    $6.44    $153.06-$156.29           $184.05-$189.91           $27.76   $3.23    0.116  
AVGO     $381.00    $11.81   $335.89-$347.11           $442.56-$466.00           $95.45   $11.22   0.118  
WRB      $72.00     $1.47    $63.38-$64.61             $75.01-$77.41             $10.40   $1.23    0.118  
JKHY     $157.25    $5.04    $124.66-$129.20           $167.14-$174.18           $37.94   $4.54    0.120  
CNC      $67.39     $2.55    $57.51-$58.54             $67.05-$69.61             $8.51    $1.03    0.121  
MTB      $238.01    $4.87    $224.87-$227.76           $251.62-$255.64           $23.86   $2.89    0.121  
PRU      $123.13    $2.44    $107.43-$109.27           $124.39-$126.19           $15.12   $1.84    0.122  
REG      $80.73     $1.40    $72.52-$73.42             $80.72-$81.92             $7.30    $0.90    0.123  
GPN      $92.40     $2.86    $67.61-$69.94             $88.69-$95.53             $18.75   $2.33    0.124  
ALNY     $265.63    $9.50    $197.95-$207.23           $282.00-$290.29           $74.77   $9.28    0.124  
OXY      $59.54     $1.72    $47.77-$48.97             $58.52-$62.40             $9.55    $1.20    0.125  
RJF      $171.57    $4.33    $141.18-$144.78           $173.49-$176.40           $28.71   $3.60    0.125  
AXON     $483.73    $22.51   $403.35-$425.32           $597.06-$614.84           $171.73  $21.98   0.128  
SRE      $85.53     $1.54    $80.84-$81.71             $88.37-$89.69             $6.66    $0.87    0.131  
ERIE     $247.11    $6.89    $209.97-$214.53           $248.75-$254.53           $34.22   $4.56    0.133  
T        $25.19     $0.59    $21.25-$21.70             $25.08-$26.84             $3.38    $0.45    0.133  
VZ       $49.27     $1.18    $42.91-$43.87             $50.94-$51.66             $7.07    $0.96    0.135  
DHI      $154.18    $4.07    $137.42-$140.37           $162.07-$165.69           $21.70   $2.95    0.136  
O        $59.85     $1.08    $56.55-$57.31             $62.88-$64.73             $5.57    $0.76    0.137  
DLTR     $122.57    $4.28    $87.92-$92.98             $129.96-$133.43           $36.98   $5.06    0.137  
NTRS     $181.96    $4.07    $164.09-$166.49           $183.85-$186.49           $17.36   $2.40    0.138  
WFC      $87.95     $2.41    $73.88-$75.34             $85.87-$89.44             $10.53   $1.47    0.139  
BR       $172.39    $4.62    $143.16-$147.44           $177.95-$182.46           $30.51   $4.28    0.140  
OMC      $80.22     $2.29    $70.04-$72.16             $87.22-$88.95             $15.06   $2.12    0.141  
AKAM     $123.99    $5.43    $102.78-$107.79           $143.03-$150.11           $35.24   $5.01    0.142  
ESS      $290.06    $4.53    $268.74-$272.07           $295.50-$303.23           $23.43   $3.33    0.142  
SWK      $96.12     $2.39    $88.39-$89.60             $98.10-$103.61            $8.50    $1.21    0.142  
MCD      $263.34    $4.44    $247.69-$250.50           $270.12-$284.46           $19.62   $2.81    0.143  
ASML     $1969.53   $68.25   $1572.97-$1612.84         $1885.18-$1999.94         $272.35  $39.86   0.146  
CRH      $95.92     $2.68    $85.62-$87.31             $98.85-$102.00            $11.54   $1.69    0.146  
MPWR     $1459.50   $51.12   $1136.65-$1185.88         $1518.37-$1713.12         $332.48  $49.23   0.148  
ROST     $244.11    $4.94    $208.44-$214.03           $251.51-$256.45           $37.48   $5.59    0.149  
TDY      $661.61    $10.95   $593.62-$604.40           $675.33-$685.74           $70.93   $10.78   0.152  
DECK     $85.80     $2.67    $77.38-$80.28             $99.16-$101.28            $18.88   $2.90    0.154  
HRL      $20.39     $0.35    $20.17-$20.75             $24.48-$24.93             $3.74    $0.57    0.154  
CDNS     $314.58    $9.28    $273.20-$281.84           $337.94-$346.56           $56.10   $8.64    0.154  
TDG      $1187.55   $27.72   $1075.64-$1096.90         $1234.53-$1284.85         $137.63  $21.26   0.154  
INTC     $128.68    $6.64    $94.53-$98.85             $126.69-$132.57           $27.84   $4.32    0.155  
NEM      $132.26    $4.12    $102.82-$106.32           $128.63-$132.33           $22.31   $3.50    0.157  
KR       $63.26     $1.76    $56.37-$57.37             $63.62-$65.01             $6.26    $1.00    0.160  
BNY      $159.14    $3.47    $143.72-$146.16           $161.21-$163.51           $15.06   $2.44    0.162  
MDT      $91.85     $1.89    $81.52-$82.98             $91.73-$94.70             $8.75    $1.46    0.167  
AVY      $180.98    $3.71    $155.28-$158.05           $174.63-$181.93           $16.58   $2.77    0.167  
DIS      $110.36    $2.45    $97.22-$99.05             $109.77-$111.81           $10.72   $1.83    0.171  
HUBB     $509.06    $13.68   $436.02-$446.52           $507.59-$539.33           $61.06   $10.50   0.172  
STLD     $244.89    $7.35    $223.13-$228.48           $259.56-$264.68           $31.08   $5.35    0.172  
EXC      $44.62     $0.79    $42.23-$42.74             $45.68-$46.51             $2.94    $0.51    0.174  
ED       $110.25    $1.79    $105.05-$106.06           $111.81-$115.23           $5.75    $1.01    0.176  
SPCX     $162.42    $7.15    $119.69-$130.75           $192.90-$225.56           $62.16   $11.05   0.178  
COP      $132.58    $3.82    $109.58-$112.88           $131.12-$141.62           $18.24   $3.30    0.181  
GL       $186.38    $3.79    $149.82-$154.67           $181.07-$188.46           $26.41   $4.85    0.184  
PNC      $251.67    $5.63    $229.99-$233.81           $254.63-$258.92           $20.81   $3.82    0.184  
AEE      $107.42    $1.58    $101.57-$102.98           $110.56-$111.55           $7.58    $1.42    0.187  
RKLB     $75.43     $3.45    $58.21-$68.24             $121.00-$135.41           $52.76   $10.03   0.190  
NWSA     $30.84     $0.72    $26.32-$27.01             $30.66-$31.66             $3.65    $0.70    0.190  
TRGP     $298.80    $7.04    $265.44-$269.71           $292.15-$306.73           $22.44   $4.27    0.190  
BKNG     $172.61    $6.86    $153.62-$160.38           $195.51-$201.40           $35.13   $6.76    0.192  
XYZ      $81.63     $2.20    $67.15-$69.35             $80.62-$83.91             $11.27   $2.20    0.195  
PEG      $73.66     $1.29    $70.06-$70.94             $75.47-$76.43             $4.53    $0.89    0.197  
CSX      $48.63     $0.96    $44.91-$45.91             $50.99-$51.88             $5.09    $1.00    0.198  
ETN      $459.65    $15.44   $388.59-$400.42           $459.25-$477.79           $58.82   $11.83   0.201  
RF       $31.50     $0.79    $28.29-$28.82             $31.48-$32.47             $2.66    $0.54    0.202  
LYV      $178.77    $4.05    $158.64-$162.24           $180.05-$187.58           $17.81   $3.60    0.202  
SHW      $341.20    $6.87    $303.81-$310.69           $344.67-$353.61           $33.98   $6.88    0.202  
ROK      $451.50    $10.80   $406.92-$415.42           $457.37-$468.11           $41.95   $8.50    0.202  
DOC      $21.96     $0.42    $20.03-$20.39             $22.15-$22.71             $1.76    $0.36    0.205  
ARM      $377.80    $20.23   $256.56-$275.74           $367.58-$427.17           $91.84   $19.18   0.209  
LEN      $86.84     $2.92    $75.73-$78.35             $90.87-$94.17             $12.52   $2.62    0.209  
ACGL     $99.89     $1.98    $90.93-$92.69             $101.07-$102.22           $8.38    $1.76    0.210  
TSLA     $398.03    $13.53   $354.07-$365.03           $417.19-$433.55           $52.17   $10.96   0.210  
HUM      $392.03    $12.52   $318.76-$330.81           $386.83-$418.05           $56.02   $12.04   0.215  
SO       $90.45     $1.41    $85.87-$87.04             $92.48-$93.37             $5.44    $1.17    0.215  
FITB     $57.11     $1.26    $52.72-$53.55             $57.41-$58.46             $3.86    $0.83    0.217  
ISRG     $425.00    $12.22   $377.62-$387.97           $435.36-$449.70           $47.38   $10.35   0.218  
PPL      $35.07     $0.59    $33.21-$33.67             $35.75-$36.47             $2.08    $0.46    0.221  
ALAB     $384.09    $23.62   $251.75-$271.70           $361.35-$397.78           $89.65   $19.95   0.223  
Q        $133.35    $4.81    $116.25-$120.63           $139.99-$143.73           $19.36   $4.38    0.226  
SNA      $409.49    $6.63    $371.93-$378.31           $406.49-$420.79           $28.18   $6.38    0.226  
MOS      $26.19     $1.11    $20.82-$21.67             $25.40-$26.95             $3.73    $0.85    0.227  
AOS      $60.89     $1.18    $56.50-$57.46             $61.66-$63.03             $4.20    $0.96    0.228  
TER      $419.46    $19.77   $310.41-$324.96           $388.51-$419.89           $63.56   $14.55   0.229  
IR       $83.90     $2.33    $70.97-$73.01             $81.82-$85.08             $8.81    $2.04    0.232  
MGM      $40.69     $0.86    $35.38-$36.85             $43.12-$43.67             $6.27    $1.47    0.234  
SPG      $217.39    $3.57    $202.94-$205.96           $218.84-$221.53           $12.88   $3.02    0.234  
GEV      $991.20    $36.66   $868.45-$894.34           $1004.57-$1046.52         $110.23  $25.89   0.235  
MAS      $78.53     $2.20    $67.59-$69.72             $78.79-$82.08             $9.07    $2.13    0.235  
INVH     $28.75     $0.52    $26.84-$27.27             $29.10-$30.11             $1.83    $0.43    0.235  
CTAS     $206.08    $3.48    $180.14-$183.27           $196.53-$207.03           $13.26   $3.13    0.236  
BEN      $34.64     $0.82    $31.11-$31.92             $35.33-$35.85             $3.41    $0.81    0.236  
BMY      $66.15     $1.44    $56.98-$58.19             $63.27-$66.31             $5.09    $1.21    0.237  
AMGN     $427.64    $11.82   $374.62-$386.44           $435.23-$445.49           $48.79   $11.81   0.242  
CBRE     $148.78    $4.06    $127.51-$131.91           $150.07-$152.19           $18.16   $4.40    0.243  
KVUE     $17.89     $0.30    $16.67-$17.18             $19.27-$20.12             $2.09    $0.51    0.245  
PLD      $142.93    $2.42    $133.55-$135.56           $143.75-$145.99           $8.19    $2.00    0.245  
FANG     $194.51    $6.72    $170.13-$174.30           $191.09-$198.54           $16.78   $4.17    0.248  
XYL      $112.29    $2.45    $105.54-$108.31           $119.28-$121.39           $10.97   $2.77    0.253  
VRSK     $179.38    $6.03    $169.00-$171.79           $182.81-$194.36           $11.02   $2.79    0.254  
L        $118.97    $2.02    $107.93-$109.53           $115.81-$119.07           $6.28    $1.60    0.255  
ZBH      $99.77     $2.99    $87.94-$89.91             $97.61-$101.11            $7.70    $1.97    0.256  
MMM      $177.78    $3.67    $162.91-$166.05           $178.28-$180.97           $12.22   $3.14    0.257  
CMI      $554.01    $15.31   $519.09-$541.91           $629.85-$639.21           $87.94   $22.82   0.260  
URI      $1100.40   $28.58   $911.33-$940.86           $1054.55-$1105.46         $113.69  $29.53   0.260  
CB       $356.16    $6.10    $337.25-$342.07           $360.61-$365.84           $18.54   $4.82    0.260  
NXPI     $249.20    $7.82    $216.78-$233.03           $294.72-$310.82           $61.69   $16.25   0.264  
GWW      $1393.06   $30.60   $1253.18-$1279.18         $1377.52-$1400.00         $98.34   $26.00   0.264  
TKO      $199.87    $5.82    $178.55-$183.01           $199.88-$211.81           $16.87   $4.46    0.264  
CMG      $34.75     $1.18    $29.10-$30.48             $35.66-$36.63             $5.18    $1.38    0.266  
ICE      $161.66    $3.55    $149.43-$151.88           $161.10-$164.64           $9.22    $2.45    0.266  
FTV      $61.89     $1.38    $54.38-$55.66             $60.41-$63.00             $4.75    $1.27    0.267  
SNDK     $1957.79   $102.68  $1505.00-$1581.40         $1867.00-$2118.45         $285.60  $76.40   0.268  
DLR      $195.30    $4.67    $181.48-$185.02           $197.91-$201.40           $12.89   $3.54    0.275  
ALGN     $161.39    $4.57    $145.84-$149.10           $160.97-$165.41           $11.86   $3.26    0.275  
WTW      $314.50    $7.76    $286.80-$293.99           $320.03-$324.95           $26.04   $7.19    0.276  
BX       $131.85    $4.04    $112.81-$117.52           $134.51-$137.59           $16.99   $4.70    0.277  
HLT      $327.27    $6.47    $302.11-$307.88           $328.49-$334.17           $20.61   $5.77    0.280  
BXP      $67.73     $1.38    $63.21-$64.30             $68.14-$70.21             $3.84    $1.09    0.282  
IRM      $126.36    $3.20    $112.04-$115.19           $125.95-$130.73           $10.76   $3.15    0.293  
HWM      $236.98    $8.09    $223.38-$229.25           $249.21-$256.50           $19.96   $5.87    0.294  
LUV      $44.09     $1.23    $37.59-$39.05             $44.02-$45.69             $4.97    $1.46    0.295  
CTVA     $89.25     $2.88    $78.86-$80.93             $87.93-$89.27             $7.00    $2.07    0.295  
TYL      $357.69    $14.29   $283.05-$297.14           $343.99-$378.85           $46.85   $14.09   0.301  
ADP      $284.31    $5.74    $268.01-$272.01           $285.25-$287.85           $13.24   $4.00    0.302  
CVX      $212.09    $4.94    $194.32-$197.44           $207.72-$217.74           $10.28   $3.12    0.304  
SLB      $55.35     $1.91    $46.43-$48.00             $53.12-$60.46             $5.12    $1.57    0.307  
IP       $37.36     $1.25    $29.27-$30.90             $36.21-$37.79             $5.31    $1.63    0.308  
CME      $284.38    $5.81    $256.46-$267.29           $302.31-$307.87           $35.02   $10.83   0.309  
TJX      $136.78    $2.99    $122.81-$129.46           $150.60-$153.55           $21.15   $6.65    0.314  
CMCSA    $23.81     $0.79    $22.14-$22.80             $24.82-$25.45             $2.02    $0.66    0.328  
CHD      $102.56    $1.85    $94.03-$95.73             $100.87-$103.65           $5.14    $1.70    0.331  
TSCO     $34.76     $1.11    $30.86-$31.90             $34.98-$36.67             $3.08    $1.04    0.338  
PANW     $394.53    $16.74   $326.34-$339.19           $376.02-$398.52           $36.83   $12.85   0.349  
QCOM     $206.39    $9.62    $169.06-$180.69           $213.99-$257.97           $33.30   $11.63   0.349  
LYB      $62.74     $2.15    $54.33-$58.54             $70.49-$74.78             $11.95   $4.21    0.352  
FE       $47.57     $0.79    $45.18-$45.75             $47.35-$48.09             $1.60    $0.57    0.356  
ARES     $131.50    $4.17    $118.97-$123.97           $138.01-$143.17           $14.04   $5.00    0.356  
LRCX     $325.22    $14.91   $265.40-$280.01           $320.74-$346.14           $40.73   $14.61   0.359  
SYY      $83.43     $1.86    $78.50-$79.70             $83.03-$85.28             $3.33    $1.20    0.360  
AMAT     $487.41    $18.75   $397.84-$415.10           $462.48-$510.63           $47.38   $17.26   0.364  
WAB      $303.74    $5.43    $276.37-$281.28           $294.50-$305.96           $13.22   $4.91    0.372  
APA      $44.42     $1.59    $39.08-$40.51             $44.19-$47.44             $3.68    $1.43    0.387  
BLK      $1133.36   $27.28   $984.07-$1035.17          $1164.06-$1181.10         $128.89  $51.10   0.396  
NBIS     $271.53    $17.18   $204.15-$220.27           $260.46-$278.79           $40.19   $16.12   0.401  
WDC      $489.09    $24.63   $407.20-$427.96           $479.53-$535.25           $51.57   $20.75   0.402  
DPZ      $313.21    $9.32    $282.02-$294.28           $323.96-$349.97           $29.68   $12.26   0.413  
OKE      $97.17     $2.65    $83.59-$87.01             $95.05-$99.24             $8.03    $3.42    0.426  
HIG      $141.44    $2.84    $131.68-$134.11           $139.75-$145.74           $5.64    $2.44    0.432  
ADM      $87.57     $2.61    $76.93-$79.17             $84.33-$88.25             $5.16    $2.23    0.433  
XLF      $54.86     $0.74    $53.40-$54.02             $55.44-$56.84             $1.42    $0.62    0.437  
LLY      $1233.31   $28.38   $1140.19-$1159.51         $1203.34-$1237.55         $43.83   $19.32   0.441  
CFG      $74.11     $2.00    $66.61-$68.25             $71.83-$74.69             $3.58    $1.64    0.456  
PCAR     $119.16    $2.84    $107.80-$112.28           $121.92-$124.37           $9.64    $4.48    0.465  
STX      $965.74    $50.41   $758.62-$799.58           $887.59-$966.21           $88.01   $40.96   0.465  
VRT      $268.28    $14.33   $220.99-$251.44           $314.46-$366.73           $63.02   $30.45   0.483  
VST      $148.94    $4.75    $132.72-$136.67           $144.84-$167.27           $8.17    $3.95    0.484  
EEM      $69.14     $1.01    $66.57-$67.06             $68.08-$70.86             $1.01    $0.50    0.490  
CAT      $849.60    $21.85   $775.14-$813.19           $890.00-$911.51           $76.81   $38.05   0.495  
TFC      $51.08     $1.18    $46.78-$48.22             $50.93-$51.77             $2.71    $1.44    0.531  
SYF      $77.12     $2.01    $68.45-$71.54             $77.26-$79.62             $5.72    $3.09    0.540  
WSM      $243.81    $6.49    $218.40-$224.34           $235.20-$244.65           $10.86   $5.94    0.547  
FDS      $307.35    $12.92   $272.70-$280.89           $295.76-$308.20           $14.87   $8.19    0.551  
CEG      $277.10    $10.47   $240.55-$256.13           $284.14-$294.42           $28.01   $15.58   0.556  
IBKR     $95.97     $2.78    $79.76-$84.28             $92.40-$96.57             $8.12    $4.52    0.558  
NOC      $535.60    $12.36   $493.94-$511.94           $542.88-$547.86           $30.94   $18.00   0.582  
EQIX     $1101.36   $24.86   $1012.38-$1031.68         $1064.61-$1106.55         $32.93   $19.30   0.586  
GOOGL    $368.17    $9.28    $314.96-$341.79           $385.29-$393.76           $43.50   $26.83   0.617  
MRSH     $178.48    $3.91    $162.45-$169.11           $179.45-$185.64           $10.34   $6.66    0.644  
MS       $209.25    $5.67    $197.13-$203.92           $214.31-$218.41           $10.39   $6.79    0.654  
INTU     $308.49    $14.11   $268.26-$292.25           $328.70-$342.06           $36.45   $23.99   0.658  
GOOG     $363.99    $8.98    $314.91-$341.73           $381.28-$389.66           $39.55   $26.82   0.678  
FERG     $235.57    $5.35    $212.93-$218.21           $225.61-$237.46           $7.40    $5.28    0.714  
FLEX     $120.73    $5.19    $104.52-$119.19           $139.42-$154.25           $20.23   $14.67   0.725  
KKR      $106.33    $3.47    $93.84-$98.77             $105.50-$108.36           $6.73    $4.92    0.732  
REGN     $842.10    $18.83   $769.84-$783.93           $802.13-$854.32           $18.20   $14.09   0.774  
RDDT     $163.34    $6.94    $143.96-$154.15           $166.80-$176.68           $12.65   $10.19   0.806  
MKC      $52.14     $1.22    $46.29-$47.91             $49.91-$53.87             $2.00    $1.62    0.808  
ITW      $283.97    $4.48    $265.83-$270.19           $275.40-$284.95           $5.21    $4.36    0.837  
CSGP     $30.03     $1.18    $28.18-$30.68             $33.06-$34.56             $2.38    $2.50    1.050  
COHR     $321.84    $20.24   $220.75-$282.65           $336.90-$383.20           $54.25   $61.90   1.141  
AIG      $78.11     $1.38    $72.26-$74.85             $76.96-$78.91             $2.11    $2.59    1.227  
TTD      $13.21     $0.58    $12.83-$17.40             $21.00-$23.57             $3.61    $4.57    1.268  
CVNA     $69.35     $3.03    $62.93-$66.51             $69.20-$76.45             $2.69    $3.58    1.331  
PCG      $13.73     $0.51    $12.59-$14.79             $16.21-$16.75             $1.42    $2.20    1.549  
EIX      $57.61     $1.72    $53.11-$69.05             $79.08-$80.74             $10.03   $15.94   1.588  
JBL      $326.42    $10.85   $286.01-$325.83           $346.06-$381.25           $20.23   $39.82   1.969  
UBER     $73.78     $2.13    $68.64-$71.44             $72.57-$75.98             $1.12    $2.80    2.489  
CI       $290.85    $6.93    $270.65-$277.56           $280.08-$293.15           $2.52    $6.90    2.733  
XLB      $52.16     $0.80    $49.57-$50.86             $51.33-$53.20             $0.47    $1.29    2.745  
VLTO     $101.84    $1.75    $95.23-$96.75             $97.09-$101.95            $0.34    $1.52    4.456  
IWM      $287.11    $3.16    $277.63-$290.82           $293.44-$296.18           $2.62    $13.19   5.034  
PODD     $147.34    $4.72    $130.12-$139.47           $140.82-$150.32           $1.35    $9.35    6.930  
MDLZ     $63.41     $1.21    $57.78-$61.22             $61.57-$64.35             $0.35    $3.44    9.814  
KHC      $25.26     $0.70    $23.00-$23.57             $23.60-$25.52             $0.03    $0.57    22.800 
========================================================================================================================
Total Stocks Analyzed: 225
Ratio Statistics:
  Min:  0.000 (APO)
  Avg:  0.540
  Max:  22.800

Generated: 2026-09-22 21:52:17

Column Definitions:
  TICKER: Stock symbol
  PRICE: Current price
  ATR: 14-day Average True Range
  DEMAND_ZONE: Buy zone range (low-high)
  SUPPLY_ZONE: Sell zone range (low-high)
  GAP: Distance from demand zone high to supply zone low
  D_SIZE: Size of demand zone
  RATIO: Demand zone size / Gap (lower = tighter setup)
